FAHRPLAN_ANLAUFPUNKT_UID;FAHRPLAN_UID;FAHRPLAN_ID;LKW_KENNZEICHEN;ANLAUFPUNKT_SEQUENZNUMMER;ALP_IST_ERSTER_ALP;ALP_IST_LETZTER_ALP;ANLAUFPUNKT_UID;ANLAUFPUNKT_NAME;ANLAUFPUNKT_HALTESTELLE;ANLAUFPUNKT_SPUR;ANLAUFPUNKT_LAGERBEREICH;FP_ZEITPUNKT_ERSTELLUNG;ALP_ZEITPUNKT_BEREITMELDUNG;ALP_ZEITPUNKT_ERFUELLUNG;FP_ZEITPUNKT_GATEOUT;FP_DAUER_GATEIN_ERSTER_ALP_SEK;ALP_DAUER_ABFERTIGUNG_SEK;ALP_DAUER_NAECHSTER_ALP_SEK;FP_DAUER_LETZT_ALP_GATEOUT_SEK;FP_DAUER_GATEIN_GATEOUT_SEK;LETZTE_AKTUALISIERUNG;FAHRPLAN_HALTESTELLEN_LISTE;ANLAUFPUNKT_AUFTRAG_LISTE;ANLAUFPUNKT_ANZAHL_CONTAINER;TruckVisitGkey;container_id
TP_14886632603_TPS_18141122603;TP_14886632603;901965;f3b3ba84db59baaa51f61643330c92ca2f5a44a6f03cec9c1567a8acd4aaa9d4;2,03E+28;1;1;TPS_18141122603;T12.01.01;T12;1.0;RMG;2026-03-02 12:28:00;2026-03-02 12:36:00;2026-03-02 12:45:00;2026-03-02 12:53:00;438.0;560.0;;493.0;1491.0;02.03.2026 13:35;T12;0244d32a-162b-11f1-87e8-436320da5332;1;;
TP_14886782603_TPS_18147852603;TP_14886782603;766424;2da5639a32e1fea197067188f0ade69c11d70f6150f71681b2b8e97afa5de239;2,03E+28;0;1;TPS_18147852603;HO2.27;HO2;27.0;VC;2026-03-02 12:55:00;2026-03-02 14:10:00;2026-03-02 14:13:00;2026-03-02 14:21:00;;199.0;;467.0;5159.0;02.03.2026 15:06;HO2, T17;2ecede64-1639-11f1-9d1b-0bb9c8bcad2b;1;1924877230;
TP_14887352603_TPS_18147862603;TP_14887352603;522807;4a089a03eaf5587091b9600590a282cf0afb549c4db41443c3214460e760cd6b;2,03E+28;0;0;TPS_18147862603;HO2.25;HO2;25.0;VC;2026-03-02 14:10:00;2026-03-02 14:38:00;2026-03-02 14:44:00;2026-03-02 15:26:00;;379.0;870.0;;;02.03.2026 16:05;HO2, T08, T22;ed78f310-163c-11f1-9d1f-d3ef79c6ecea;1;1925224464;
TP_14887462603_TPS_18094192603;TP_14887462603;311068;b44fbe550bcd44f44de02cf667d47552fd81fe1d9d4ca827637a002ab38384c6;2,03E+28;0;1;TPS_18094192603;HO2.27;HO2;27.0;VC;2026-03-02 14:15:00;2026-03-02 15:31:00;2026-03-02 15:36:00;2026-03-02 15:43:00;;241.0;;475.0;5332.0;02.03.2026 16:35;HO2, T11, T23;;0;1925230390;
TP_14887652603_TPS_18094202603;TP_14887652603;717187;2963b9932dff356573ac3c14d5f15fd69d96c9715eb61e6d710d099c48f3fcf0;2,03E+28;0;1;TPS_18094202603;HO2.34;HO2;34.0;VC;2026-03-02 14:22:00;2026-03-02 15:48:00;2026-03-02 15:54:00;2026-03-02 16:01:00;;388.0;;437.0;5960.0;02.03.2026 17:06;HO2, T18;d1f91ebc-1646-11f1-ac96-db3804ab1659;1;1925297240;
TP_14887892603_TPS_18141722603;TP_14887892603;364290;73d0fecbcc6eaac43ad052932956fb73f9054fed7600dc90d016d0a5022a229b;2,03E+28;1;1;TPS_18141722603;T19.03.01;T19;3.0;RMG;2026-03-02 12:35:00;2026-03-02 12:44:00;2026-03-02 12:46:00;2026-03-02 12:55:00;538.0;93.0;;521.0;1152.0;02.03.2026 13:35;T19;fca19cd6-162b-11f1-b5ef-03b3c8b3a15a;1;;
TP_14888152603_TPS_18137402603;TP_14888152603;684318;d4b452d3ee8ac26ba59297d829ce98112c427bf9de40b8c692a2d3e56cf184b2;2,03E+28;0;1;TPS_18137402603;T07.03.01;T07;3.0;RMG;2026-03-02 12:43:00;2026-03-02 12:57:00;2026-03-02 13:11:00;2026-03-02 13:49:00;;829.0;;2258.0;3924.0;02.03.2026 14:35;T07, T23;1aa0ccd8-162d-11f1-bc3b-932b9e98d518;1;;
TP_14888152603_TPS_18137392603;TP_14888152603;684318;d4b452d3ee8ac26ba59297d829ce98112c427bf9de40b8c692a2d3e56cf184b2;2,03E+28;1;0;TPS_18137392603;T23.02.01;T23;2.0;RMG;2026-03-02 12:43:00;2026-03-02 12:49:00;2026-03-02 12:52:00;2026-03-02 13:49:00;320.0;197.0;320.0;;;02.03.2026 14:35;T07, T23;1a930ecc-162d-11f1-bc3a-67eeda9768f2;1;;
TP_14888502603_TPS_18142492603;TP_14888502603;551721;17c1f9b422a74e1d0d264d1cd5dc22dcce775280fd2360f62ede25a7ef76a5ad;2,03E+28;1;1;TPS_18142492603;HO2.32;HO2;32.0;VC;2026-03-02 13:20:00;2026-03-02 13:28:00;2026-03-02 13:29:00;2026-03-02 13:46:00;477.0;55.0;;972.0;1504.0;02.03.2026 14:35;HO2;46284408-1632-11f1-bdc9-ff6137b570a1;1;;
TP_14888592603_TPS_18145452603;TP_14888592603;292645;ea1019524b97946724b658b069377331c7abab04850e6551642296183321e0ca;2,03E+28;1;1;TPS_18145452603;T14.04.01;T14;4.0;RMG;2026-03-02 13:32:00;2026-03-02 13:40:00;2026-03-02 13:43:00;2026-03-02 13:54:00;461.0;149.0;;673.0;1283.0;02.03.2026 14:35;T14;f2de4872-1633-11f1-a563-a3144bd761c1;1;;
TP_14889132603_TPS_18149402603;TP_14889132603;381813;e5f4180596c318d97724cd5a139858da6c0b7c314a272d2928d5196f29bb6e56;2,03E+28;0;1;TPS_18149402603;HO2.25;HO2;25.0;VC;2026-03-02 14:32:00;2026-03-02 15:24:00;2026-03-02 15:29:00;2026-03-02 15:47:00;;312.0;;1033.0;4445.0;02.03.2026 16:35;HO2, T15;53c0a024-163c-11f1-a44b-afed4ff94972;1;1925320861;
TP_14889242603_TPS_18146972603;TP_14889242603;368390;d846dfdb6272b50bc4eb23f928996f67a73d7ad20fe1c3d5137d39b20edc650b;2,03E+28;0;1;TPS_18146972603;HO2.22;HO2;22.0;VC;2026-03-02 14:36:00;2026-03-02 15:41:00;2026-03-02 15:47:00;2026-03-02 15:57:00;;376.0;;590.0;4811.0;02.03.2026 16:35;HO2, T08, T11;e3e8d5fe-163c-11f1-bfca-cb68830c341f;1;;
TP_14889242603_TPS_18146962603;TP_14889242603;368390;d846dfdb6272b50bc4eb23f928996f67a73d7ad20fe1c3d5137d39b20edc650b;2,03E+28;0;0;TPS_18146962603;T08.01.01;T08;1.0;RMG;2026-03-02 14:36:00;2026-03-02 15:12:00;2026-03-02 15:23:00;2026-03-02 15:57:00;;662.0;1032.0;;;02.03.2026 16:35;HO2, T08, T11;e3e88464-163c-11f1-bfc9-97276b61cd97;1;;
TP_14889242603_TPS_18146952603;TP_14889242603;368390;d846dfdb6272b50bc4eb23f928996f67a73d7ad20fe1c3d5137d39b20edc650b;2,03E+28;1;0;TPS_18146952603;T11.03.01;T11;3.0;RMG;2026-03-02 14:36:00;2026-03-02 14:48:00;2026-03-02 14:57:00;2026-03-02 15:57:00;669.0;584.0;898.0;;;02.03.2026 16:35;HO2, T08, T11;e3da9de0-163c-11f1-bfc8-2beefeca3f64;1;;
TP_14890212603_TPS_18151252603;TP_14890212603;642325;c13f7cd218de4f317d39605fce73a973b2a4a28025de1f5b8ac33a02b721c590;2,03E+28;0;1;TPS_18151252603;HO2.26;HO2;26.0;VC;2026-03-02 16:38:00;2026-03-02 17:44:00;2026-03-02 17:50:00;2026-03-02 18:06:00;;374.0;;956.0;5261.0;02.03.2026 19:08;HO2, T17;e628f694-164d-11f1-b7d0-1735303198f8;1;1925913090;
TP_14891002603_TPS_18151992603;TP_14891002603;651302;6dca112ad0defd266dcf5b0d308fc14009d1fecee4a42054fb1e05ed9be4d846;2,03E+28;1;1;TPS_18151992603;T19.02.01;T19;2.0;RMG;2026-03-02 16:27:00;2026-03-02 16:33:00;2026-03-02 16:44:00;2026-03-02 16:51:00;334.0;631.0;;462.0;1427.0;02.03.2026 17:35;T19;6578bc6a-164c-11f1-a78f-6f89cc19da06,6585bd3e-164c-11f1-a790-cb17bda953be;2;;
TP_14891202603_TPS_18145242603;TP_14891202603;577149;6056b615e375e20d0463aa239d1d90cfa894675fc3445f95e03f64cabaac5d78;2,03E+28;0;1;TPS_18145242603;HO2.23;HO2;23.0;VC;2026-03-02 16:48:00;2026-03-02 17:49:00;2026-03-02 18:03:00;2026-03-02 18:22:00;;848.0;;1142.0;5609.0;02.03.2026 19:08;HO2, T13;4adb2a8e-164f-11f1-bb2a-4fc8928e30d3;1;1925947439;
TP_14892842603_TPS_18144432603;TP_14892842603;659089;e2169c8b23f369f541772d47a88d3be27f56e63d5fba8a0f76750606e0457093;2,03E+28;1;1;TPS_18144432603;T08.03.01;T08;3.0;RMG;2026-03-02 14:38:00;2026-03-02 14:43:00;2026-03-02 15:10:00;2026-03-02 15:14:00;273.0;1647.0;;239.0;2159.0;02.03.2026 16:05;T08;2b3fa914-163d-11f1-ab25-d785c462186d;1;;
TP_14893032603_TPS_18149682603;TP_14893032603;700784;fa549c181a1061700ae161a9bf535a1ac16da5c1624badf45f0de20abb1e74a3;2,03E+28;1;1;TPS_18149682603;HO2.32;HO2;32.0;VC;2026-03-02 15:18:00;2026-03-02 15:42:00;2026-03-02 16:00:00;2026-03-02 16:09:00;1439.0;1024.0;;573.0;3036.0;02.03.2026 17:06;HO2;c22a717e-1642-11f1-a8cd-cb6629ced9e8;1;;
TP_14893102603_TPS_18149802603;TP_14893102603;326574;e982c6c2d145c6cd8556d4a9ce333a51ff3e72a66e73bed64f63ab7432c81442;2,03E+28;1;1;TPS_18149802603;T24.02.01;T24;2.0;RMG;2026-03-02 15:22:00;2026-03-02 15:29:00;2026-03-02 15:38:00;2026-03-02 15:46:00;387.0;534.0;;521.0;1442.0;02.03.2026 16:35;T24;4ac853de-1643-11f1-a9b4-978717af4d90,4ad7e86c-1643-11f1-a9b5-43b6e0ffd9b0;2;;
TP_14893252603_TPS_18094212603;TP_14893252603;854376;e4e49f2a0c93175579d208957fd607aa2dbf5d88248a855e3acb15c88739689d;2,03E+28;0;1;TPS_18094212603;HO2.21;HO2;21.0;VC;2026-03-02 15:42:00;2026-03-02 16:42:00;2026-03-02 16:52:00;2026-03-02 17:03:00;;588.0;;697.0;4860.0;02.03.2026 18:05;HO2, T07, T21;6627cac8-164e-11f1-acf1-6f9656778304;1;1925686046;
TP_14894012603_TPS_18145042603;TP_14894012603;303162;ed30f08ecd3384fa30aec459071483dc1a5456fd9d05248505b408a1a8d100af;2,03E+28;0;1;TPS_18145042603;HO2.32;HO2;32.0;VC;2026-03-02 16:44:00;2026-03-02 17:40:00;2026-03-02 17:46:00;2026-03-02 18:02:00;;391.0;;975.0;4686.0;02.03.2026 19:08;HO2, T24;bb7937a0-164e-11f1-bad5-177339914b77;1;1925934847;
TP_14894992603_TPS_18157332603;TP_14894992603;752820;10f2b8dce78077d38f2f7a1d4f0f29b9016350aa08359ffa7ac1b648798b900f;2,03E+28;1;1;TPS_18157332603;T07.03.01;T07;3.0;RMG;2026-03-02 19:01:00;2026-03-02 19:08:00;2026-03-02 19:16:00;2026-03-02 19:27:00;408.0;460.0;;670.0;1538.0;02.03.2026 20:05;T07;e9204c80-1661-11f1-a4cf-db481d590b72,e92e5f3c-1661-11f1-a4d0-d31426c37c8d;2;;
TP_14895322603_TPS_18158982603;TP_14895322603;234309;55663fb899fb62742dbff0d31c4f2b080c4a2eb46b55a7ea608dbe0a18839ca3;2,03E+28;1;1;TPS_18158982603;T09.03.01;T09;3.0;RMG;2026-03-02 21:47:00;2026-03-02 21:52:00;2026-03-02 21:58:00;2026-03-02 22:03:00;261.0;377.0;;267.0;905.0;02.03.2026 23:06;T09;197f588c-1679-11f1-a9b3-9bd59adc8454,198e20f6-1679-11f1-a9b4-d72edc1e39eb;2;;
TP_14895392603_TPS_18151342603;TP_14895392603;455729;79c871aa3ec2021a207513c8176187c3f593b843d0f855c15d6923b8a57f5de9;2,03E+28;1;1;TPS_18151342603;T19.03.01;T19;3.0;RMG;2026-03-02 16:39:00;2026-03-02 16:54:00;2026-03-02 17:15:00;2026-03-02 17:44:00;863.0;1256.0;;1767.0;3886.0;02.03.2026 18:35;T19;12862df6-164e-11f1-b850-a76c659ad006;1;;
TP_14895562603_TPS_18094242603;TP_14895562603;608252;5e80e10829e64923b3953f0f475bedb943adfb49b79b1806f966299e8caaa14f;2,03E+28;0;1;TPS_18094242603;HO2.32;HO2;32.0;VC;2026-03-02 17:09:00;2026-03-02 17:53:00;2026-03-02 17:59:00;2026-03-02 18:18:00;;361.0;;1108.0;4127.0;02.03.2026 19:08;HO2, T10;57dab4e4-1658-11f1-ad99-2b90b874bca9;1;1926004979;
TP_14895742603_TPS_18152682603;TP_14895742603;248008;28267f950ff1bdf79c25c8fafe03e4322b31138442a557345b3e9aa980e9dbe6;2,03E+28;0;1;TPS_18152682603;T07.03.01;T07;3.0;RMG;2026-03-02 17:23:00;2026-03-02 18:12:00;2026-03-02 18:15:00;2026-03-02 18:31:00;;178.0;;956.0;4045.0;02.03.2026 19:08;T07, T26;38a4c32a-1654-11f1-b3f0-5f71f4ea4330;1;;
TP_14895742603_TPS_18152672603;TP_14895742603;248008;28267f950ff1bdf79c25c8fafe03e4322b31138442a557345b3e9aa980e9dbe6;2,03E+28;1;0;TPS_18152672603;T26.04.01;T26;4.0;RMG;2026-03-02 17:23:00;2026-03-02 17:39:00;2026-03-02 18:04:00;2026-03-02 18:31:00;931.0;1513.0;467.0;;;02.03.2026 19:08;T07, T26;3895f12e-1654-11f1-b3ef-fbdb8b966721;1;;
TP_14895802603_TPS_18152802603;TP_14895802603;386937;58a23217381f5a77aba13abb9c8618b6f9c442f02f45da9c6ef4d1870c7473bb;2,03E+28;1;1;TPS_18152802603;T14.03.01;T14;3.0;RMG;2026-03-02 17:31:00;2026-03-02 17:39:00;2026-03-02 17:45:00;2026-03-02 17:48:00;464.0;375.0;;143.0;982.0;02.03.2026 18:35;T14;56656e18-1655-11f1-b54c-6755ec6b04c3;1;;
TP_14895932603_TPS_18127422603;TP_14895932603;653952;6962424e19fdf6f29d38362ea7ef1ad24efa59fdb9c0d8eaa580fc5784013d2a;2,03E+28;0;1;TPS_18127422603;HO2.28;HO2;28.0;VC;2026-03-02 17:41:00;2026-03-02 19:24:00;2026-03-02 19:46:00;2026-03-02 19:54:00;;1296.0;;480.0;7968.0;02.03.2026 20:35;HO2, T13;0cecaf98-1665-11f1-9052-bbd3ba801445;1;1926087998;
TP_14897042603_TPS_18127392603;TP_14897042603;789093;21c2cacbe0843395901d02dbf6cb78919c00e6f19a959e5b455149fa64cb43c6;2,03E+28;0;1;TPS_18127392603;HO2.30;HO2;30.0;VC;2026-03-02 18:24:00;2026-03-02 18:40:00;2026-03-02 19:24:00;2026-03-02 19:28:00;;2630.0;;272.0;3871.0;02.03.2026 20:05;HO2, T14;6e7be7d0-165e-11f1-9020-27e72168adae;1;1926198386;
TP_14897422603_TPS_18156572603;TP_14897422603;895271;add026b822d728b8d5d08df2bf26f586c3881129368c03687ebe1af608c61d97;2,03E+28;1;1;TPS_18156572603;T12.04.01;T12;4.0;RMG;2026-03-02 22:31:00;2026-03-02 22:35:00;2026-03-02 22:58:00;2026-03-02 23:05:00;188.0;1416.0;;411.0;2015.0;03.03.2026 00:05;T12;3efd804c-167f-11f1-b7e7-6326b34a63af,3f0abf1e-167f-11f1-b7e8-27c0067b84d4;2;;
TP_14897642603_TPS_18155002603;TP_14897642603;303068;cf1ab1c37d4ad14d8a07bc40b13ddd4c3b78608f5873821cddd52ec431e2f718;2,03E+28;0;1;TPS_18155002603;HO2.28;HO2;28.0;VC;2026-03-02 23:03:00;2026-03-03 00:18:00;2026-03-03 00:27:00;2026-03-03 00:33:00;;529.0;;401.0;5438.0;03.03.2026 01:35;HO2, T06, T18;9b8c574e-1683-11f1-b277-3b4478904927;1;1926911215;
TP_14898122603_TPS_18127442603;TP_14898122603;453868;3bb0d6d4becd95e305eb18681051a9ee712b3e888e2815f2ade0005f62912ca7;2,03E+28;0;1;TPS_18127442603;HO2.28;HO2;28.0;VC;2026-03-02 19:36:00;2026-03-02 20:29:00;2026-03-02 20:32:00;2026-03-02 20:43:00;;154.0;;635.0;3993.0;02.03.2026 21:09;HO2, T22;;0;1926574929;
TP_14899842603_TPS_18161362603;TP_14899842603;869231;22b71342bc3d226b611823b21b1e3b3198e1839148be48e0e344ee45000f5174;2,03E+28;1;1;TPS_18161362603;T10.03.01;T10;3.0;RMG;2026-03-03 04:08:00;2026-03-03 04:40:00;2026-03-03 04:47:00;2026-03-03 05:02:00;1915.0;382.0;;906.0;3203.0;03.03.2026 06:05;T10;52e7b396-16ae-11f1-b1b7-7f9a27bea88a;1;;
TP_14900222603_TPS_18161512603;TP_14900222603;281091;5315874d7a1f6d486f0644917ff4329f195a3027f61557394d6f86f6572b9043;2,03E+28;1;1;TPS_18161512603;T20.04.01;T20;4.0;RMG;2026-03-03 05:52:00;2026-03-03 05:58:00;2026-03-03 06:03:00;2026-03-03 06:11:00;329.0;303.0;;483.0;1115.0;03.03.2026 07:06;T20;da704e3c-16bc-11f1-bd7f-b73b63bc695c;1;;
TP_14900352603_TPS_18165772603;TP_14900352603;253190;4ec7a685185d4a1b578435480404403fe0c1abbba444275a48bc2d12e4a7b7ac;2,03E+28;1;1;TPS_18165772603;T17.03.01;T17;3.0;RMG;2026-03-03 06:33:00;2026-03-03 06:38:00;2026-03-03 07:01:00;2026-03-03 07:08:00;274.0;1403.0;;402.0;2079.0;03.03.2026 08:05;T17;948d18fe-16c2-11f1-956b-1bb27391cadb;1;;
TP_14900532603_TPS_18159752603;TP_14900532603;724562;9e369e6f3aee4f84efd139b954fac80d71c9b31bf4617107af348aaf4a74decd;2,03E+28;1;1;TPS_18159752603;T22.03.01;T22;3.0;RMG;2026-03-03 00:28:00;2026-03-03 00:36:00;2026-03-03 00:40:00;2026-03-03 01:08:00;465.0;282.0;;1661.0;2408.0;03.03.2026 02:05;T22;87382744-168f-11f1-92c6-cf20a7a22cfa;1;;
TP_14900772603_TPS_18162702603;TP_14900772603;269777;a2b1a1faa44c2f7c7141852473715de3afa90adf10cf918e1817b59892eb278e;2,03E+28;0;1;TPS_18162702603;T24.03.01;T24;3.0;RMG;2026-03-03 06:14:00;2026-03-03 06:35:00;2026-03-03 06:43:00;2026-03-03 06:49:00;;446.0;;375.0;2071.0;03.03.2026 07:35;T08, T24;ecfd90fc-16bf-11f1-9377-7b0f3165f132;1;;
TP_14900772603_TPS_18162692603;TP_14900772603;269777;a2b1a1faa44c2f7c7141852473715de3afa90adf10cf918e1817b59892eb278e;2,03E+28;1;0;TPS_18162692603;T08.03.01;T08;3.0;RMG;2026-03-03 06:14:00;2026-03-03 06:28:00;2026-03-03 06:30:00;2026-03-03 06:49:00;782.0;150.0;318.0;;;03.03.2026 07:35;T08, T24;ecef6ec8-16bf-11f1-9376-2fd3f9ddb6ab;1;;
